game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated,x,y,z
1,5,240,14,3,240,Die Macher,240,1986,"Economic,Negotiation,Political",,Karl-Heinz Schmiel,,"Area Control / Area Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection","Hans im Glück Verlags-GmbH,Moskito Spiele,Valley Games, Inc.",7.66508,4498,-21.481367,-10.4768915,4.2939515
2,4,30,12,3,30,Dragonmaster,30,1981,"Card Game,Fantasy",,"G. W. ""Jerry"" D'Arcey",,Trick-taking,"E.S. Lowe,Milton Bradley",6.60815,478,-51.88361,-66.62321,9.867303
3,4,60,10,2,30,Samurai,60,1998,"Abstract Strategy,Medieval",,Reiner Knizia,,"Area Control / Area Influence,Hand Management,Set Collection,Tile Placement","999 Games,ABACUSSPIELE,Astrel Games,Ceilikan Jogos,Descartes Editeur,Edge Entertainment,Fantasy Flight Games,Galakta,Hans im Glück Verlags-GmbH,Hobby Japan,Lacerta,Lautapelit.fi,Rio Grande Games,Skandinavisk  Spil Kompagni,Wargames Club Publishing",7.44119,12019,-16.451103,-2.3594303,0.41812527
4,4,60,12,2,60,Tal der Könige,60,1992,Ancient,,Christian Beierer,,"Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Set Collection",KOSMOS,6.60675,314,-34.75103,-14.017951,10.304846
5,6,90,12,3,90,Acquire,90,1964,Economic,,Sid Sackson,,"Hand Management,Stock Holding,Tile Placement","3M,Avalon Hill,Avalon Hill (Hasbro),Dujardin,Grow Jogos e Brinquedos,PS-Games,Schmidt France,Schmidt International,Schmidt Spiele,Selecta Spel en Hobby,Smart Games, Inc.",7.3583,15195,-0.98713,-65.043915,0.0855116
6,6,240,12,2,240,Mare Mediterraneum,240,1989,"Civilization,Nautical",,Jean du Poël,,Dice Rolling,Historien Spiele Galerie (Historien Spielegalerie),6.52534,73,-34.896885,-27.32815,19.136717
7,2,20,8,2,20,Cathedral,20,1978,Abstract Strategy,,Robert P. Moore,,"Area Enclosure,Pattern Building,Pattern Recognition,Tile Placement","Brightway Products Ltd,Falomir Juegos,Family Games, Inc.,Gazebo Games UK Ltd.,Gigamic,Holzinsel,Lagoon Games,Mattel,Robert P. Moore Games,Yangxin Industrial Company Limited",6.50534,2751,24.02033,-79.92829,6.5889874
8,5,120,12,2,120,Lords of Creation,120,1993,"Civilization,Fantasy",,Martin Wallace,,Modular Board,"Vendetta,Warfrog Games",6.14538,186,-34.506256,-27.853733,51.07788
9,4,90,13,2,90,El Caballero,90,1998,Exploration,,"Wolfgang Kramer,Richard Ulrich",,"Area Control / Area Influence,Tile Placement","999 Games,Hans im Glück Verlags-GmbH,Rio Grande Games",6.51776,1263,-15.06084,15.111999,8.043686
10,6,60,10,2,60,Elfenland,60,1998,"Fantasy,Travel",,Alan R. Moon,"Elfengold,Elfenland: Back to the Roads,Elfenland: Der Elfen-Zauberer,Stadt Land Spielt Limitierte Sonderdrucke 2013","Card Drafting,Hand Management,Point to Point Movement,Route/Network Building","999 Games,AMIGO Spiel + Freizeit GmbH,Corfix,Hobby World,Midgaard Games,Rio Grande Games",6.74996,6729,9.892549,-39.97069,2.52249
11,7,45,13,2,45,Bohnanza,45,1997,"Card Game,Farming,Negotiation",,Uwe Rosenberg,"Auf der schwäb'schen Eisenbohn,Bohn Camillo,Bohnanza Erweiterungs-Set,Bohnanza Erweiterungs-Set (Revised Edition),Bohnanza: Amigo Bohnentaler,Bohnanza: Bean Market,Bohnanza: Bohnaparte & High Bohn,Bohnanza: Das Fanbuch,Bohnanza: Die Jokerbohnen,Bohnanza: Princes & Pirates,Bohnanza: Spiderbeans,Bohnaparte,Bohnedikt,Bohnedikt (2016 Edition),Bohnröschen,Brettspiel Adventskalender 2015,Dschingis Bohn,Fasolki: Rozszerzenie,High Bohn,High Bohn Plus,High Bohn: Bohnenduell um 12 Uhr mittags,La Isla Bohnitâ,Ladybohn,Mutabohn,Telebohn","Hand Management,Set Collection,Trading","AMIGO Spiel + Freizeit GmbH,999 Games,Brain Games,Copag - Cia. Paulista de Artes Gráficas,Corfix,G3,Gigamic,Kaissa Chess & Games,Kikigagne?,Korea Boardgames co., Ltd.,Lautapelit.fi,Lifestyle Boardgames Ltd,Lookout Games,Mercurio,Midgaard Games,Möbius Games,Piatnik,Rio Grande Games,Stratelibri,Swan Panasia Co., Ltd.,Tempo Games",7.06751,28354,8.82446,-78.37406,-3.312252
12,5,60,12,2,45,Ra,60,1999,"Ancient,Mythology",,Reiner Knizia,,"Auction/Bidding,Press Your Luck,Set Collection","alea,Ravensburger Spieleverlag GmbH,999 Games,ABACUSSPIELE,Edge Entertainment,Korea Boardgames co., Ltd.,New Games Order, LLC,Rio Grande Games,Swan Panasia Co., Ltd.,Überplay,Windrider Games",7.47505,15378,-39.19323,0.28315955,0.07230845
