Unnamed: 0,Unnamed: 0.1,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating,x,y,z
0,0,1,5.0,240.0,14.0,3.0,240.0,Die Macher,1986,"Marcus Gschwendtner,Harald Lieske","Economic,Negotiation,Political",,Karl-Heinz Schmiel,"Country: Germany,Political: Elections,Series: Classic Line (Valley Games)","Alliances,Area Majority / Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection","Hans im Glück,Moskito Spiele,Portal Games,Spielworxx,sternenschimmermeer,Stronghold Games,Valley Games, Inc.,YOKA Games",5275,7.61727,-37.262115,9.337966,-12.1528
1,1,2,4.0,30.0,12.0,3.0,30.0,Dragonmaster,1981,Bob Pepper,"Card Game,Fantasy",,"G. W. ""Jerry"" D'Arcey",Creatures: Dragons,Trick-taking,"E.S. Lowe,Milton Bradley",559,6.64346,39.649223,61.608753,-6.8804393
2,2,3,4.0,60.0,10.0,2.0,30.0,Samurai,1998,Franz Vohwinkel,"Abstract Strategy,Medieval",,Reiner Knizia,"Country: Japan,Digital Implementations: Triqqy,Series: Euro Classics (Reiner Knizia),Series: Tile-Laying Trilogy (Reiner Knizia),Theme: Samurai","Area Majority / Influence,Hand Management,Hexagon Grid,Once-Per-Game Abilities,Set Collection,Tile Placement","Fantasy Flight Games,Hans im Glück,999 Games,ABACUSSPIELE,Astrel Games,Ceilikan Jogos,Descartes Editeur,Edge Entertainment,Galakta,Hobby Japan,Korea Boardgames Co., Ltd.,Lacerta,Lautapelit.fi,Rio Grande Games,Skandinavisk  Spil Kompagni,Smart Ltd,Wargames Club Publishing",14944,7.4506,-19.200071,-4.970615,1.4323016
3,3,4,4.0,60.0,12.0,2.0,60.0,Tal der Könige,1992,Thomas di Paolo,Ancient,,Christian Beierer,"Containers: Triangular Boxes,Country: Egypt,Promotional: Promo Board Games","Action Points,Area Majority / Influence,Auction/Bidding,Set Collection",KOSMOS,337,6.59353,-27.639568,-4.4703093,-4.011026
4,4,5,6.0,90.0,12.0,2.0,90.0,Acquire,1964,"Scott Okumura,Peter Whitley","Economic,Territory Building",,Sid Sackson,Series: 3M Bookshelf Series,"Hand Management,Investment,Market,Square Grid,Stock Holding,Tile Placement,Victory Points as a Resource","3M,The Avalon Hill Game Co,Avalon Hill Games, Inc.,Dujardin,Grow Jogos e Brinquedos,PS-Games,Schmidt France,Schmidt International,Schmidt Spiele,Selecta Spel en Hobby,Smart Games, Inc.",18390,7.3378,-43.165142,-57.60691,1.8848598
6,6,7,2.0,20.0,8.0,2.0,20.0,Cathedral,1978,S. Mattusek,Abstract Strategy,,Robert P. Moore,"Category: Combinatorial,Components: Polyominoes,Players: Two Player Only Games","Enclosure,Pattern Building,Pattern Recognition,Tile Placement","Brightway Products Ltd,Falomir Juegos,Family Games, Inc.,Gazebo Games UK Ltd.,Gigamic,Holzinsel,Lagoon Games,Mattel,Robert P. Moore Games,Yangxin Industrial Company Limited",3272,6.52122,0.33645478,-69.9825,-2.5068836
7,7,8,5.0,120.0,12.0,2.0,120.0,Lords of Creation,1993,Bryan King,"Civilization,Fantasy",,Martin Wallace,,Modular Board,"Vendetta,Warfrog Games",199,6.11829,-27.733278,-12.476873,24.052986
8,8,9,4.0,90.0,13.0,2.0,90.0,El Caballero,1998,Doris Matthäus,Exploration,,"Wolfgang Kramer,Richard Ulrich",Game: El Grande,"Area Majority / Influence,Tile Placement","999 Games,Hans im Glück,Rio Grande Games",1383,6.45895,-9.914474,2.9891553,8.491141
9,9,10,6.0,60.0,10.0,2.0,60.0,Elfenland,1998,"Doris Matthäus,Alan R. Moon","Fantasy,Travel",,Alan R. Moon,"Creatures: Fairies / Elves / Pixies,Digital Implementations: Board Game Arena,Game: Elfenroads","Card Drafting,Hand Management,Network and Route Building,Point to Point Movement","AMIGO,999 Games,Albi,Corfix,Hobby World,Midgaard Games,Rio Grande Games",8188,6.69879,-7.984768,-33.561287,-1.2951385
10,10,11,7.0,45.0,13.0,2.0,45.0,Bohnanza,1997,"Fréderic Bertrand,Marek Bláha,Andrea Boekhoff,Klemens Franz,Oliver Freudenreich,Inge George,Guido Hoffmann,Alexander Jung,Harald Lieske,Atelier Löwentor,Doris Matthäus,Björn Pertoft,Uwe Rosenberg,Johann Rüttinger,Barbara Stachuletz,Franz Vohwinkel,Markus Wagner","Card Game,Farming,Negotiation",,Uwe Rosenberg,"Components: Multi-Use Cards,Game: Bohnanza,Series: Bean Games (Lookout)","Hand Management,Melding and Splaying,Negotiation,Set Collection,Trading","AMIGO,999 Games,Brädspel.se,Brain Games,Copag Cards,Corfix,G3,Gigamic,Giochi Uniti,Kaissa Chess & Games,Kikigagne?,Korea Boardgames Co., Ltd.,Lautapelit.fi,Lifestyle Boardgames Ltd,Lookout Games,Mercurio,Midgaard Games,Möbius Games,PaperGames (III),Piatnik,Rio Grande Games,Stratelibri,Swan Panasia Co., Ltd.,Tempo Games (I)",38960,7.03786,9.466541,-49.153442,2.8958519
11,11,12,5.0,60.0,12.0,2.0,45.0,Ra,1999,"Allison Kline,Ian O'Toole,Tiago Sousa,Franz Vohwinkel","Ancient,Mythology",,Reiner Knizia,"Country: Egypt,Digital Implementations: Triqqy,Game: Ra,Misc: LongPack Games,Mythology: Egyptian,Series: Alea Big Box,Series: Book Box (DiceTree),Series: Euro Classics (Reiner Knizia)","Auction/Bidding,Auction: Once Around,Closed Economy Auction,Constrained Bidding,Push Your Luck,Set Collection","alea,Ravensburger,25th Century Games,999 Games,ABACUSSPIELE,DiceTree Games,Edge Entertainment,Korea Boardgames Co., Ltd.,New Games Order, LLC,Precisamente,Rio Grande Games,Swan Panasia Co., Ltd.,Überplay,Windrider Games",19342,7.47593,-17.068785,-43.17569,1.9856817
