game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated
1,5,240,14,3,240,Die Macher,240,1986,"Economic,Negotiation,Political",,Karl-Heinz Schmiel,,"Area Control / Area Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection","Hans im Glück Verlags-GmbH,Moskito Spiele,Valley Games, Inc.",7.66508,4498
2,4,30,12,3,30,Dragonmaster,30,1981,"Card Game,Fantasy",,"G. W. ""Jerry"" D'Arcey",,Trick-taking,"E.S. Lowe,Milton Bradley",6.60815,478
3,4,60,10,2,30,Samurai,60,1998,"Abstract Strategy,Medieval",,Reiner Knizia,,"Area Control / Area Influence,Hand Management,Set Collection,Tile Placement","999 Games,ABACUSSPIELE,Astrel Games,Ceilikan Jogos,Descartes Editeur,Edge Entertainment,Fantasy Flight Games,Galakta,Hans im Glück Verlags-GmbH,Hobby Japan,Lacerta,Lautapelit.fi,Rio Grande Games,Skandinavisk  Spil Kompagni,Wargames Club Publishing",7.44119,12019
4,4,60,12,2,60,Tal der Könige,60,1992,Ancient,,Christian Beierer,,"Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Set Collection",KOSMOS,6.60675,314
5,6,90,12,3,90,Acquire,90,1964,Economic,,Sid Sackson,,"Hand Management,Stock Holding,Tile Placement","3M,Avalon Hill,Avalon Hill (Hasbro),Dujardin,Grow Jogos e Brinquedos,PS-Games,Schmidt France,Schmidt International,Schmidt Spiele,Selecta Spel en Hobby,Smart Games, Inc.",7.3583,15195
6,6,240,12,2,240,Mare Mediterraneum,240,1989,"Civilization,Nautical",,Jean du Poël,,Dice Rolling,Historien Spiele Galerie (Historien Spielegalerie),6.52534,73
7,2,20,8,2,20,Cathedral,20,1978,Abstract Strategy,,Robert P. Moore,,"Area Enclosure,Pattern Building,Pattern Recognition,Tile Placement","Brightway Products Ltd,Falomir Juegos,Family Games, Inc.,Gazebo Games UK Ltd.,Gigamic,Holzinsel,Lagoon Games,Mattel,Robert P. Moore Games,Yangxin Industrial Company Limited",6.50534,2751
8,5,120,12,2,120,Lords of Creation,120,1993,"Civilization,Fantasy",,Martin Wallace,,Modular Board,"Vendetta,Warfrog Games",6.14538,186
9,4,90,13,2,90,El Caballero,90,1998,Exploration,,"Wolfgang Kramer,Richard Ulrich",,"Area Control / Area Influence,Tile Placement","999 Games,Hans im Glück Verlags-GmbH,Rio Grande Games",6.51776,1263
10,6,60,10,2,60,Elfenland,60,1998,"Fantasy,Travel",,Alan R. Moon,"Elfengold,Elfenland: Back to the Roads,Elfenland: Der Elfen-Zauberer,Stadt Land Spielt Limitierte Sonderdrucke 2013","Card Drafting,Hand Management,Point to Point Movement,Route/Network Building","999 Games,AMIGO Spiel + Freizeit GmbH,Corfix,Hobby World,Midgaard Games,Rio Grande Games",6.74996,6729
