x,y,z,game_id,name,category,compilation,expansion,mechanic,average_rating,users_rated,highlight
-26.758762,-13.481363,-18.216202,1,Die Macher,"['Economic', 'Negotiation', 'Political']",0,0,"['Area Control / Area Influence', 'Auction/Bidding', 'Dice Rolling', 'Hand Management', 'Simultaneous Action Selection']",7.66508,4498,Economic
-6.4837656,84.577614,-32.760967,2,Dragonmaster,"['Card Game', 'Fantasy']",0,0,['Trick-taking'],6.60815,478,Fantasy
-17.394909,-14.575914,-40.59185,3,Samurai,"['Abstract Strategy', 'Medieval']",0,0,"['Area Control / Area Influence', 'Hand Management', 'Set Collection', 'Tile Placement']",7.44119,12019,none
-39.581512,-16.983767,-43.790768,4,Tal der Könige,['Ancient'],0,0,"['Action Point Allowance System', 'Area Control / Area Influence', 'Auction/Bidding', 'Set Collection']",6.60675,314,none
-48.28337,25.410479,-41.09718,5,Acquire,['Economic'],0,0,"['Hand Management', 'Stock Holding', 'Tile Placement']",7.3583,15195,Economic
-46.50627,-2.4387116,-46.468014,6,Mare Mediterraneum,"['Civilization', 'Nautical']",0,0,['Dice Rolling'],6.52534,73,none
-51.67481,62.397873,-21.414627,7,Cathedral,['Abstract Strategy'],0,0,"['Area Enclosure', 'Pattern Building', 'Pattern Recognition', 'Tile Placement']",6.50534,2751,none
-46.43086,-1.883022,-11.126155,8,Lords of Creation,"['Civilization', 'Fantasy']",0,0,['Modular Board'],6.14538,186,Fantasy
-4.8737063,-18.733788,-27.082085,9,El Caballero,['Exploration'],0,0,"['Area Control / Area Influence', 'Tile Placement']",6.51776,1263,none
-21.612476,36.377464,-20.066833,10,Elfenland,"['Fantasy', 'Travel']",0,1,"['Card Drafting', 'Hand Management', 'Point to Point Movement', 'Route/Network Building']",6.74996,6729,Fantasy
-33.459393,55.01602,-41.926857,11,Bohnanza,"['Card Game', 'Farming', 'Negotiation']",0,1,"['Hand Management', 'Set Collection', 'Trading']",7.06751,28354,none
-38.786747,-32.569813,-41.123886,12,Ra,"['Ancient', 'Mythology']",0,0,"['Auction/Bidding', 'Press Your Luck', 'Set Collection']",7.47505,15378,none
-13.176995,18.222818,-42.026306,13,Catan,['Negotiation'],1,1,"['Dice Rolling', 'Hand Management', 'Modular Board', 'Route/Network Building', 'Trading']",7.26569,67655,none
-0.541795,11.813188,-14.994368,14,Basari,['Negotiation'],0,0,"['Roll / Spin and Move', 'Set Collection', 'Simultaneous Action Selection']",6.78156,1476,none
13.31235,-4.3286653,-18.616817,15,Cosmic Encounter,"['Bluffing', 'Negotiation', 'Science Fiction']",0,1,"['Hand Management', 'Variable Player Powers']",6.9347,3629,Science Fiction
-15.754965,6.611935,-13.667894,16,MarraCash,['Economic'],0,0,['Auction/Bidding'],6.84341,877,Economic
