x,y,z,game_id,name,category,compilation,expansion,mechanic,average_rating,users_rated,highlight
2.4827929,40.476128,-31.142939,1,Die Macher,"['Economic', 'Negotiation', 'Political']",0,0,"['Area Control / Area Influence', 'Auction/Bidding', 'Dice Rolling', 'Hand Management', 'Simultaneous Action Selection']",7.66508,4498,Economic
-85.14051,-14.398299,22.171886,2,Dragonmaster,"['Card Game', 'Fantasy']",0,0,['Trick-taking'],6.60815,478,Fantasy
14.819191,23.231071,-34.12964,3,Samurai,"['Abstract Strategy', 'Medieval']",0,0,"['Area Control / Area Influence', 'Hand Management', 'Set Collection', 'Tile Placement']",7.44119,12019,none
15.703576,47.133587,21.504513,4,Tal der Könige,['Ancient'],0,0,"['Action Point Allowance System', 'Area Control / Area Influence', 'Auction/Bidding', 'Set Collection']",6.60675,314,none
68.63954,12.303118,-34.591225,5,Acquire,['Economic'],0,0,"['Hand Management', 'Stock Holding', 'Tile Placement']",7.3583,15195,Economic
26.436075,44.28334,18.475538,6,Mare Mediterraneum,"['Civilization', 'Nautical']",0,0,['Dice Rolling'],6.52534,73,none
84.7532,-9.711505,-26.193987,7,Cathedral,['Abstract Strategy'],0,0,"['Area Enclosure', 'Pattern Building', 'Pattern Recognition', 'Tile Placement']",6.50534,2751,none
26.806301,43.65331,-8.120072,8,Lords of Creation,"['Civilization', 'Fantasy']",0,0,['Modular Board'],6.14538,186,Fantasy
-3.5116909,11.634931,-0.4831493,9,El Caballero,['Exploration'],0,0,"['Area Control / Area Influence', 'Tile Placement']",6.51776,1263,none
47.425537,20.159416,-32.54375,10,Elfenland,"['Fantasy', 'Travel']",0,1,"['Card Drafting', 'Hand Management', 'Point to Point Movement', 'Route/Network Building']",6.74996,6729,Fantasy
71.04446,-0.465541,-35.35051,11,Bohnanza,"['Card Game', 'Farming', 'Negotiation']",0,1,"['Hand Management', 'Set Collection', 'Trading']",7.06751,28354,none
-0.44895294,33.45239,-34.617153,12,Ra,"['Ancient', 'Mythology']",0,0,"['Auction/Bidding', 'Press Your Luck', 'Set Collection']",7.47505,15378,none
33.543217,14.482859,-35.43603,13,Catan,['Negotiation'],1,1,"['Dice Rolling', 'Hand Management', 'Modular Board', 'Route/Network Building', 'Trading']",7.26569,67655,none
14.563573,-2.263081,-23.545439,14,Basari,['Negotiation'],0,0,"['Roll / Spin and Move', 'Set Collection', 'Simultaneous Action Selection']",6.78156,1476,none
-4.155783,-4.940434,-26.58899,15,Cosmic Encounter,"['Bluffing', 'Negotiation', 'Science Fiction']",0,1,"['Hand Management', 'Variable Player Powers']",6.9347,3629,Science Fiction
24.273767,7.9169803,-22.304932,16,MarraCash,['Economic'],0,0,['Auction/Bidding'],6.84341,877,Economic
21.549541,-35.798634,0.69139504,17,Button Men,"['Collectible Components', 'Dice', 'Fighting', 'Print & Play']",0,0,"['Dice Rolling', 'Press Your Luck']",6.3087,724,none
-14.22103,33.61567,-35.04626,18,RoboRally,"['Miniatures', 'Racing', 'Science Fiction']",0,1,"['Action / Movement Programming', 'Grid Movement', 'Modular Board', 'Simultaneous Action Selection']",7.15355,19371,Science Fiction
58.645935,52.852806,-0.081777625,19,Wacky Wacky West,"['American West', 'Bluffing', 'City Building']",0,0,"['Tile Placement', 'Voting']",6.31166,1459,none
-19.673946,14.555392,-38.378677,20,Full Metal Planète,['Science Fiction'],0,1,['Action Point Allowance System'],7.43592,602,Science Fiction
-66.63575,-29.814802,-24.090187,22,Magic Realm,"['Adventure', 'Exploration', 'Fantasy']",0,0,"['Action / Movement Programming', 'Modular Board', 'Rock-Paper-Scissors', 'Role Playing', 'Simultaneous Action Selection', 'Variable Player Powers']",7.14384,1709,Fantasy
0.31501776,46.160057,3.259877,23,Divine Right,"['Fantasy', 'Political', 'Wargame']",0,0,"['Dice Rolling', 'Hex-and-Counter', 'Variable Phase Order']",6.95654,483,Fantasy
-28.223866,40.878555,23.152813,24,Twilight Imperium,"['Civilization', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']",0,1,"['Dice Rolling', 'Hex-and-Counter', 'Modular Board', 'Tile Placement', 'Variable Player Powers', 'Voting']",6.66812,667,Science Fiction
-5.932867,9.37036,33.70624,25,Battlemist,"['Exploration', 'Fantasy', 'Wargame']",0,1,['None'],5.93231,308,Fantasy
36.287308,44.436867,-24.315094,26,Age of Renaissance,"['Civilization', 'Economic', 'Medieval', 'Renaissance']",0,0,"['Area Movement', 'Auction/Bidding']",7.0993,1944,Economic
52.72057,12.72551,50.647896,27,Supremacy,"['Economic', 'Political', 'Wargame']",0,1,"['Commodity Speculation', 'Dice Rolling']",5.57724,1201,Economic
2.1621346,43.1075,-27.137512,28,Illuminati:  Deluxe Edition,"['Card Game', 'Humor', 'Negotiation', 'Political']",0,1,"['Card Drafting', 'Dice Rolling', 'Route/Network Building', 'Tile Placement', 'Variable Player Powers']",6.5289,4274,none
1.0565804,-5.752098,30.921288,29,Terrain Vague,"['Fighting', 'Humor']",0,0,"['Action Point Allowance System', 'Modular Board']",6.66639,61,none
-6.845869,-51.719746,23.744516,30,Dark Tower,"['Adventure', 'Electronic', 'Exploration', 'Fantasy', 'Fighting']",0,0,"['Area Movement', 'Press Your Luck']",6.6435,1052,Fantasy
-32.95894,17.401396,-28.947105,31,Dark World,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']",0,1,"['Dice Rolling', 'Grid Movement']",5.18525,590,Fantasy
56.72956,54.457172,-4.131452,32,Bison,"['Abstract Strategy', 'American West']",0,0,['None'],6.04137,182,none
-21.14628,1.8439091,21.634155,34,Arkham Horror,"['Adventure', 'Horror', 'Novel-based']",0,0,['Co-operative Play'],6.56386,453,none
-17.963898,17.378736,-10.829162,36,Federation & Empire,"['Science Fiction', 'Wargame']",0,1,['Hex-and-Counter'],6.23239,355,Science Fiction
-10.222077,-12.878102,48.18523,37,Dragon Masters,"['Fantasy', 'Wargame']",0,1,['None'],5.69731,130,Fantasy
3.6228573,-87.80663,-6.02922,38,Runes,"['Deduction', 'Word Game']",0,0,['None'],6.06707,82,none
-26.872694,4.820704,-28.46458,39,Darkover,"['Bluffing', 'Fantasy', 'Novel-based']",0,0,['None'],5.22865,96,Fantasy
30.123957,44.94109,27.871962,40,Borderlands,"['Bluffing', 'Civilization', 'Fantasy', 'Negotiation', 'Political']",0,1,"['Area Movement', 'Trading']",6.77517,254,Fantasy
20.6207,-31.43615,-33.433334,41,Can't Stop,['Dice'],0,1,"['Dice Rolling', 'Press Your Luck']",6.85659,9095,none
22.8095,43.97942,-35.075138,42,Tigris & Euphrates,"['Abstract Strategy', 'Ancient', 'Civilization', 'Territory Building']",0,1,"['Area Control / Area Influence', 'Hand Management', 'Set Collection', 'Tile Placement']",7.72379,20166,none
71.25969,15.395525,21.713123,43,Airlines,"['Aviation / Flight', 'Economic']",0,0,"['Route/Network Building', 'Stock Holding']",6.61065,346,Economic
-88.29769,-17.101362,-0.32162508,44,David & Goliath,['Card Game'],0,0,['Trick-taking'],6.4529,1418,none
42.510494,44.749367,-31.956406,46,Medici,['Renaissance'],0,0,"['Auction/Bidding', 'Set Collection']",7.1502,5702,none
34.625576,23.05802,-31.935452,47,Chinatown,"['City Building', 'Economic', 'Negotiation']",0,0,"['Set Collection', 'Tile Placement', 'Trading']",7.23234,5846,Economic
6.1500726,40.00036,-2.966671,48,Krieg und Frieden,"['Medieval', 'Political']",0,0,['Auction/Bidding'],6.13737,646,none
0.5077193,-22.766417,-27.26292,49,Mamma Mia!,['Card Game'],1,1,"['Hand Management', 'Memory']",6.48827,4824,none
-3.7838356,9.166215,-35.32521,50,Lost Cities,"['Card Game', 'Exploration']",0,1,"['Hand Management', 'Set Collection']",7.14784,26686,none
-18.15315,-47.40138,-32.412663,51,Ricochet Robots,"['Abstract Strategy', 'Maze', 'Puzzle', 'Real-time']",0,0,"['Grid Movement', 'Modular Board']",6.99357,6278,none
18.57679,34.969013,-4.765241,52,Mighty Empires,"['Fantasy', 'Territory Building', 'Wargame']",0,0,['None'],6.08468,449,Fantasy
19.78577,36.546005,-34.45327,54,Tikal,"['Exploration', 'Territory Building']",0,1,"['Action Point Allowance System', 'Area Control / Area Influence', 'Auction/Bidding', 'Grid Movement', 'Set Collection', 'Tile Placement']",7.34313,13674,none
-10.710761,-73.79219,-54.300396,55,Sophie's World,['Trivia'],0,0,['None'],4.93768,69,none
54.68498,10.718384,22.384766,57,Schoko & Co.,['Economic'],0,0,"['Auction/Bidding', 'Commodity Speculation']",6.6678,371,Economic
14.036627,35.80474,-0.66356415,58,Kings & Things,"['Bluffing', 'Exploration', 'Fantasy', 'Territory Building', 'Wargame']",0,0,"['Area Control / Area Influence', 'Area Movement', 'Hex-and-Counter', 'Modular Board', 'Secret Unit Deployment']",6.53692,1477,Fantasy
58.82455,15.296768,-23.10477,59,Giganten,"['Economic', 'Exploration', 'Industry / Manufacturing']",0,0,"['Auction/Bidding', 'Commodity Speculation']",6.75663,1294,Economic
22.08283,43.731842,-29.798414,60,Vinci,"['Ancient', 'Civilization', 'Territory Building']",0,0,"['Area Control / Area Influence', 'Area Movement', 'Variable Player Powers']",7.13097,3712,none
13.619323,48.88355,47.249374,61,Fossil,['Ancient'],0,0,['Set Collection'],5.41618,617,none
-13.766318,38.110775,-28.823866,62,Curse of the Mummy's Tomb,"['Adventure', 'Ancient', 'Horror']",0,1,['Action / Movement Programming'],5.22768,298,none
4.1821237,45.196518,12.010365,63,Samurai,"['Political', 'Wargame']",0,0,['Area Movement'],6.38198,369,none
5.466488,43.49619,-10.949842,64,Joan of Arc,"['Card Game', 'Medieval', 'Political', 'Wargame']",0,0,['None'],6.26579,409,none
